0307731,Aparelho de apoio de neoprene fretado para estruturas moldadas no local - fornecimento e instalação,dm3,"86,05"
0307732,Aparelho de apoio de neoprene fretado para estruturas pré-moldadas - fornecimento e instalação,dm3,"64,24"
0308308,Aparelho de apoio metálico elastomérico fixo com capacidade de 1.500 kN - fornecimento e instalação,un,"15.214,13"
0308313,Aparelho de apoio metálico elastomérico fixo com capacidade de 10.000 kN - fornecimento e instalação,un,"98.620,85"
0308309,Aparelho de apoio metálico elastomérico fixo com capacidade de 2.500 kN - fornecimento e instalação,un,"24.767,75"
0308310,Aparelho de apoio metálico elastomérico fixo com capacidade de 4.000 kN - fornecimento e instalação,un,"39.531,91"
0308311,Aparelho de apoio metálico elastomérico fixo com capacidade de 5.500 kN - fornecimento e instalação,un,"54.299,45"
0308312,Aparelho de apoio metálico elastomérico fixo com capacidade de 7.500 kN - fornecimento e instalação,un,"73.992,39"
0308307,Aparelho de apoio metálico elastomérico fixo com capacidade de 700 kN - fornecimento e instalação,un,"10.173,95"
0308322,Aparelho de apoio metálico elastomérico multidirecional com capacidade de 1.500 kN - fornecimento e instalação,un,"8.194,49"
0308327,Aparelho de apoio metálico elastomérico multidirecional com capacidade de 10.000 kN - fornecimento e instalação,un,"51.981,79"
0308323,Aparelho de apoio metálico elastomérico multidirecional com capacidade de 2.500 kN - fornecimento e instalação,un,"12.231,84"
0308324,Aparelho de apoio metálico elastomérico multidirecional com capacidade de 4.000 kN - fornecimento e instalação,un,"21.278,60"
0308325,Aparelho de apoio metálico elastomérico multidirecional com capacidade de 5.500 kN - fornecimento e instalação,un,"29.226,16"
0308326,Aparelho de apoio metálico elastomérico multidirecional com capacidade de 7.500 kN - fornecimento e instalação,un,"36.382,04"
0308321,Aparelho de apoio metálico elastomérico multidirecional com capacidade de 700 kN - fornecimento e instalação,un,"4.759,18"
0308315,Aparelho de apoio metálico elastomérico unidirecional com capacidade de 1.500 kN - fornecimento e instalação,un,"10.200,68"
0308320,Aparelho de apoio metálico elastomérico unidirecional com capacidade de 10.000 kN - fornecimento e instalação,un,"58.501,33"
0308316,Aparelho de apoio metálico elastomérico unidirecional com capacidade de 2.500 kN - fornecimento e instalação,un,"16.745,60"
0308317,Aparelho de apoio metálico elastomérico unidirecional com capacidade de 4.000 kN - fornecimento e instalação,un,"20.516,44"
0308318,Aparelho de apoio metálico elastomérico unidirecional com capacidade de 5.500 kN - fornecimento e instalação,un,"32.334,89"
0308319,Aparelho de apoio metálico elastomérico unidirecional com capacidade de 7.500 kN - fornecimento e instalação,un,"43.903,82"
0308314,Aparelho de apoio metálico elastomérico unidirecional com capacidade de 700 kN - fornecimento e instalação,un,"7.667,95"
0308250,Aparelho de apoio metálico esférico fixo com capacidade de 1.000 kN - fornecimento e instalação,un,"3.966,98"
0308251,Aparelho de apoio metálico esférico fixo com capacidade de 1.500 kN - fornecimento e instalação,un,"5.771,72"
0308268,Aparelho de apoio metálico esférico fixo com capacidade de 10.000 kN - fornecimento e instalação,un,"140.019,25"
0308252,Aparelho de apoio metálico esférico fixo com capacidade de 2.000 kN - fornecimento e instalação,un,"7.502,17"
0308253,Aparelho de apoio metálico esférico fixo com capacidade de 2.500 kN - fornecimento e instalação,un,"9.377,92"
0308254,Aparelho de apoio metálico esférico fixo com capacidade de 3.000 kN - fornecimento e instalação,un,"10.060,74"
0308255,Aparelho de apoio metálico esférico fixo com capacidade de 3.500 kN - fornecimento e instalação,un,"12.547,33"
0308256,Aparelho de apoio metálico esférico fixo com capacidade de 4.000 kN - fornecimento e instalação,un,"14.850,50"
0308257,Aparelho de apoio metálico esférico fixo com capacidade de 4.500 kN - fornecimento e instalação,un,"63.082,56"
0308258,Aparelho de apoio metálico esférico fixo com capacidade de 5.000 kN - fornecimento e instalação,un,"70.073,78"
0308259,Aparelho de apoio metálico esférico fixo com capacidade de 5.500 kN - fornecimento e instalação,un,"77.003,11"
0308260,Aparelho de apoio metálico esférico fixo com capacidade de 6.000 kN - fornecimento e instalação,un,"84.039,44"
